,Accident_Index,Accident_Severity,Day_of_Week,Time,Road_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area,Month,Vehicle_Type,Skidding_and_Overturning,Was_Vehicle_Left_Hand_Drive?,Sex_of_Driver,Age_Band_of_Driver
0,201301BS70003,2,4,9,6,1,1,1,0,1,2,8,0,1,1,8
1,201301BS70003,2,4,9,6,1,1,1,0,1,2,1,0,1,1,7
2,201301BS70005,3,6,8,6,1,8,1,0,1,4,3,0,1,2,6
3,201301BS70006,3,2,11,6,1,1,1,0,1,7,11,0,1,1,8
4,201301BS70007,3,5,10,6,1,1,1,0,1,10,3,0,1,1,7
5,201301BS70007,3,5,10,6,1,1,1,0,1,10,9,0,1,1,7
6,201301BS70009,3,6,17,2,4,1,1,0,1,4,9,0,1,1,6
7,201301BS70009,3,6,17,2,4,1,1,0,1,4,9,0,1,1,6
8,201301BS70010,3,4,15,6,1,2,2,0,1,9,9,0,1,1,-1
9,201301BS70012,3,1,12,3,1,1,1,0,1,1,8,0,1,1,9
10,201301BS70012,3,1,12,3,1,1,1,0,1,1,5,0,1,1,7
11,201301BS70013,3,3,18,6,4,1,1,0,1,1,1,0,1,1,5
12,201301BS70015,3,1,14,6,1,1,1,0,1,1,9,0,1,3,-1
13,201301BS70018,3,1,17,6,4,1,1,0,1,6,9,0,1,1,7
14,201301BS70018,3,1,17,6,4,1,1,0,1,6,1,0,1,2,6
15,201301BS70019,3,2,9,6,1,1,2,0,1,1,5,0,1,1,6
16,201301BS70019,3,2,9,6,1,1,2,0,1,1,19,0,1,1,8
17,201301BS70020,3,2,14,6,1,2,2,0,1,1,1,0,1,2,6
18,201301BS70020,3,2,14,6,1,2,2,0,1,1,9,0,1,2,-1
19,201301BS70021,3,2,14,6,1,3,3,0,1,1,9,0,1,2,7
20,201301BS70021,3,2,14,6,1,3,3,0,1,1,19,0,1,1,-1
21,201301BS70023,3,6,16,6,1,1,1,0,1,1,3,0,1,1,6
22,201301BS70023,3,6,16,6,1,1,1,0,1,1,9,0,1,1,7
23,201301BS70024,3,1,20,6,4,3,3,0,2,1,9,0,1,1,7
24,201301BS70024,3,1,20,6,4,3,3,0,2,1,9,0,1,1,-1
25,201301BS70024,3,1,20,6,4,3,3,0,2,1,9,0,1,1,-1
26,201301BS70024,3,1,20,6,4,3,3,0,2,1,9,0,1,1,-1
27,201301BS70024,3,1,20,6,4,3,3,0,2,1,9,0,1,1,-1
28,201301BS70025,3,1,11,6,1,1,1,0,1,1,5,0,1,1,5
29,201301BS70027,3,4,8,6,1,1,1,0,1,9,9,0,1,3,-1
30,201301BS70031,3,6,7,2,1,1,1,0,1,4,9,0,1,1,8
31,201301BS70031,3,6,7,2,1,1,1,0,1,4,9,0,1,1,8
32,201301BS70032,3,7,23,6,4,1,1,0,2,5,8,0,1,1,8
33,201301BS70032,3,7,23,6,4,1,1,0,2,5,9,0,1,2,6
34,201301BS70033,3,6,18,6,4,3,3,0,1,1,19,0,1,1,6
35,201301BS70033,3,6,18,6,4,3,3,0,1,1,1,0,1,2,5
36,201301BS70034,2,5,20,6,4,1,1,0,1,1,5,0,1,1,9
37,201301BS70034,2,5,20,6,4,1,1,0,1,1,9,0,1,1,7
38,201301BS70035,2,5,17,6,4,1,1,0,1,1,3,0,1,1,5
39,201301BS70035,2,5,17,6,4,1,1,0,1,1,9,0,1,1,9
40,201301BS70035,2,5,17,6,4,1,1,0,1,1,9,0,1,1,-1
41,201301BS70036,3,7,10,3,1,1,2,0,1,1,8,0,1,1,8
42,201301BS70036,3,7,10,3,1,1,2,0,1,1,9,0,1,2,7
43,201301BS70038,3,3,9,6,1,1,2,0,1,1,1,0,1,1,6
44,201301BS70038,3,3,9,6,1,1,2,0,1,1,9,0,1,1,-1
45,201301BS70040,3,4,8,6,1,1,1,0,1,1,5,0,1,2,7
46,201301BS70040,3,4,8,6,1,1,1,0,1,1,21,0,1,1,-1
47,201301BS70042,3,6,8,6,1,2,2,0,1,1,1,0,1,1,5
48,201301BS70042,3,6,8,6,1,2,2,0,1,1,9,0,1,1,8
49,201301BS70043,3,5,16,6,1,1,1,0,1,1,1,0,1,2,6
